Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDT36,12.3,Low Fat,0.111447593,Baking Goods,33.4874,OUT049,1999,Medium,Tier 1,Supermarket Type1,436.6087212
FDT36,12.3,Low Fat,0.111904005,Baking Goods,33.9874,OUT017,2007,Medium,Tier 2,Supermarket Type1,443.1277212
FDT36,12.3,LF,0.111727876,Baking Goods,33.9874,OUT018,2009,Medium,Tier 3,Supermarket Type2,564.5984
FDT36,12.3,Low Fat,0,Baking Goods,34.3874,OUT019,1985,Small,Tier 1,Grocery Store,1719.37
FDP12,9.8,Regular,0.045522854,Baking Goods,35.0874,OUT017,2007,Medium,Tier 2,Supermarket Type1,352.874
FDT36,12.3,Low Fat,0.111274591,Baking Goods,35.0874,OUT046,1997,Small,Tier 1,Supermarket Type1,458.7362
FDQ36,7.855,Regular,0.161413005,Baking Goods,35.2848,OUT013,1987,High,Tier 3,Supermarket Type1,299.3350723
FDT36,7.855,Low Fat,0.110735739,Baking Goods,35.2874,OUT027,1985,Medium,Tier 3,Supermarket Type3,988.0472
FDQ36,7.855,Regular,0.161875063,Baking Goods,35.6848,OUT045,2002,Small,Tier 2,Supermarket Type1,335.5632
FDT36,12.3,Low Fat,0.111500259,Baking Goods,35.6874,OUT045,2002,Small,Tier 2,Supermarket Type1,846.8976
FDP12,9.8,Regular,0.045258247,Baking Goods,35.9874,OUT035,2004,Small,Tier 2,Supermarket Type1,282.2992
FDT36,12.3,Low Fat,0.11125355,Baking Goods,36.0874,OUT035,2004,Small,Tier 2,Supermarket Type1,483.8237718
FDP12,9.8,Regular,0.045358609,Baking Goods,36.1874,OUT045,2002,Small,Tier 2,Supermarket Type1,423.4488
FDQ36,7.855,Regular,0.162205516,Baking Goods,36.2848,OUT018,2009,Medium,Tier 3,Supermarket Type2,1155.8288
FDP12,9.8,Regular,0.045451204,Baking Goods,36.2874,OUT018,2009,Medium,Tier 3,Supermarket Type2,384.0658416
FDP12,5.765,Regular,0.0450476,Baking Goods,36.4874,OUT027,1985,Medium,Tier 3,Supermarket Type3,809.9743383
FDW23,5.765,Low Fat,0.081944045,Baking Goods,36.7164,OUT013,1987,High,Tier 3,Supermarket Type1,849.5608
FDP12,9.8,Regular,0.045337184,Baking Goods,36.8874,OUT049,1999,Medium,Tier 1,Supermarket Type1,564.5984
FDP12,9.8,Regular,0.045266806,Baking Goods,36.9874,OUT046,1997,Small,Tier 1,Supermarket Type1,705.748
FDW23,5.765,Low Fat,0.082178616,Baking Goods,37.0164,OUT045,2002,Small,Tier 2,Supermarket Type1,540.6296
FDQ36,7.855,Regular,0.161516894,Baking Goods,37.0848,OUT035,2004,Small,Tier 2,Supermarket Type1,447.4176
FDP12,9.8,Regular,0.045229136,Baking Goods,37.1874,OUT013,1987,High,Tier 3,Supermarket Type1,386.3027112
FDW23,5.765,Low Fat,0.0821398,Baking Goods,37.2164,OUT049,1999,Medium,Tier 1,Supermarket Type1,579.246
FDQ36,7.855,Regular,0.161798604,Baking Goods,37.2848,OUT049,1999,Medium,Tier 1,Supermarket Type1,745.696
FDT36,12.3,Low Fat,0.186250852,Baking Goods,37.2874,OUT010,1998,Medium,Tier 3,Grocery Store,176.437
FDT36,12.3,Low Fat,0,Baking Goods,37.2874,OUT013,1987,High,Tier 3,Supermarket Type1,705.748
FDW23,12.3,Low Fat,0.143592939,Baking Goods,37.3164,OUT019,1985,Small,Tier 1,Grocery Store,38.6164
FDW23,5.765,Low Fat,0.082012293,Baking Goods,37.5164,OUT046,1997,Small,Tier 1,Supermarket Type1,656.4788
FDQ36,7.855,Regular,0,Baking Goods,38.1848,OUT019,1985,Small,Tier 1,Grocery Store,37.2848
FDQ36,7.855,Regular,0,Baking Goods,38.3848,OUT046,1997,Small,Tier 1,Supermarket Type1,932.12
FDW23,5.765,Low Fat,0.081615145,Baking Goods,38.6164,OUT027,1985,Medium,Tier 3,Supermarket Type3,473.1523788
FDW23,5.765,Low Fat,0.082476188,Baking Goods,38.8164,OUT017,2007,Medium,Tier 2,Supermarket Type1,239.4409042
FDW23,5.765,Low Fat,0.082346376,Baking Goods,38.8164,OUT018,2009,Medium,Tier 3,Supermarket Type2,237.2031388
FDQ36,5.765,Regular,0.16076514,Baking Goods,39.0848,OUT027,1985,Medium,Tier 3,Supermarket Type3,243.1173823
FDQ36,7.855,Regular,0.162461219,Baking Goods,39.2848,OUT017,2007,Medium,Tier 2,Supermarket Type1,857.5504
FDM60,10.8,Regular,0,Baking Goods,39.3138,OUT013,1987,High,Tier 3,Supermarket Type1,1015.345
FDM60,10.8,Regular,0.080582001,Baking Goods,39.4138,OUT010,1998,Medium,Tier 3,Grocery Store,451.2091824
FDM60,10.8,Regular,0.047910156,Baking Goods,39.8138,OUT027,1985,Medium,Tier 3,Supermarket Type3,831.0096089
FDR36,6.715,Regular,0.121586376,Baking Goods,40.0454,OUT046,1997,Small,Tier 1,Supermarket Type1,285.0391527
FDW23,5.765,Low Fat,0.081996785,Baking Goods,40.1164,OUT035,2004,Small,Tier 2,Supermarket Type1,540.6296
FDM60,10.8,Regular,0.048143292,Baking Goods,40.2138,OUT046,1997,Small,Tier 1,Supermarket Type1,690.4346
FDR36,6.715,Regular,0.121485195,Baking Goods,40.2454,OUT013,1987,High,Tier 3,Supermarket Type1,587.2356
FDM60,10.8,Regular,0.048134189,Baking Goods,40.3138,OUT035,2004,Small,Tier 2,Supermarket Type1,461.5123824
FDR36,6.715,reg,0.122274118,Baking Goods,40.3454,OUT017,2007,Medium,Tier 2,Supermarket Type1,838.908
FDM60,10.8,Regular,0.08429269,Baking Goods,40.6138,OUT019,1985,Small,Tier 1,Grocery Store,481.8187674
FDM60,10.8,Regular,0,Baking Goods,40.7138,OUT017,2007,Medium,Tier 2,Supermarket Type1,406.138
FDM60,10.8,Regular,0.048240928,Baking Goods,41.0138,OUT045,2002,Small,Tier 2,Supermarket Type1,469.5259824
FDR36,6.715,Regular,0.203510667,Baking Goods,41.0454,OUT010,1998,Medium,Tier 3,Grocery Store,251.6724
FDM60,10.8,Regular,0.048339408,Baking Goods,41.5138,OUT018,2009,Medium,Tier 3,Supermarket Type2,446.7518
FDM60,10.8,Regular,0.048218142,Baking Goods,42.2138,OUT049,1999,Medium,Tier 1,Supermarket Type1,690.4346
FDR36,6.715,Regular,0.12177541,Baking Goods,43.0454,OUT049,1999,Medium,Tier 1,Supermarket Type1,303.5023541
FDO60,20,Low Fat,0.057527544,Baking Goods,43.1086,OUT010,1998,Medium,Tier 3,Grocery Store,89.2172
FDO60,20,Low Fat,0.034203092,Baking Goods,43.3086,OUT027,1985,Medium,Tier 3,Supermarket Type3,624.5204
FDO60,20,Low Fat,0,Baking Goods,43.4086,OUT018,2009,Medium,Tier 3,Supermarket Type2,401.4774
FDO60,20,Low Fat,0.034363029,Baking Goods,43.5086,OUT035,2004,Small,Tier 2,Supermarket Type1,401.4774
FDR36,6.715,Regular,0.121832956,Baking Goods,43.5454,OUT045,2002,Small,Tier 2,Supermarket Type1,838.908
FDR36,6.715,Regular,0.120997589,Baking Goods,43.6454,OUT027,1985,Medium,Tier 3,Supermarket Type3,360.7129726
FDK24,9.195,Low Fat,0,Baking Goods,43.6744,OUT018,2009,Medium,Tier 3,Supermarket Type2,407.4696
FDO60,20,Low Fat,0.034369528,Baking Goods,43.7086,OUT046,1997,Small,Tier 1,Supermarket Type1,892.172
FDR36,6.715,Regular,0.121563385,Baking Goods,43.7454,OUT035,2004,Small,Tier 2,Supermarket Type1,545.2902
FDR36,6.715,Regular,0.122081667,Baking Goods,43.8454,OUT018,2009,Medium,Tier 3,Supermarket Type2,320.9198285
FDO60,20,Low Fat,0.034422963,Baking Goods,44.4086,OUT049,1999,Medium,Tier 1,Supermarket Type1,976.9892
